Model,CV Accuracy,Test Accuracy,Precision,Recall,F1 Score,Model Size (MB),Training Time
EfficientNetV2B0,N/A,0.965034965034965,0.9668735899712682,0.965034965034965,0.9650524166806128,25.29,00:19:30
MobileNetV2,N/A,0.8540209790209791,0.8639862278386354,0.8540209790209791,0.8524691615368044,11.28,00:19:11
