Model,CV Accuracy,Test Accuracy,Precision,Recall,F1 Score,Model Size (MB),Training Time
EfficientNetV2B0,N/A,0.9985714285714286,0.9985790954468429,0.9985714285714286,0.9985714273021442,25.25,00:06:06
MobileNetV2,N/A,0.9967857142857143,0.9968071873693051,0.9967857142857143,0.9967843627697537,11.25,00:05:49
