Model,CV Accuracy,Test Accuracy,Precision,Recall,F1 Score,Model Size (MB),Training Time
EfficientNetV2B0,N/A,0.9886363636363636,0.9894194452890105,0.9886363636363636,0.988644800176731,25.29,00:22:22
MobileNetV2,N/A,0.9641608391608392,0.9671188357665135,0.9641608391608392,0.9644609939820494,11.28,00:20:19
