,precision,recall,f1-score,support
0,1.0,0.9545454545454546,0.9767441860465116,44.0
1,0.9347826086956522,0.9772727272727273,0.9555555555555556,44.0
2,0.9565217391304348,1.0,0.9777777777777777,44.0
3,0.9777777777777777,1.0,0.9887640449438202,44.0
4,1.0,0.9772727272727273,0.9885057471264368,44.0
5,0.9761904761904762,0.9318181818181818,0.9534883720930233,44.0
6,1.0,0.9545454545454546,0.9767441860465116,44.0
7,1.0,0.9545454545454546,0.9767441860465116,44.0
8,0.9318181818181818,0.9318181818181818,0.9318181818181818,44.0
9,0.9555555555555556,0.9772727272727273,0.9662921348314607,44.0
10,0.9347826086956522,0.9772727272727273,0.9555555555555556,44.0
11,1.0,0.9318181818181818,0.9647058823529412,44.0
12,1.0,0.8636363636363636,0.926829268292683,44.0
13,0.7857142857142857,1.0,0.88,44.0
14,0.9565217391304348,1.0,0.9777777777777777,44.0
15,0.9361702127659575,1.0,0.967032967032967,44.0
16,1.0,0.9090909090909091,0.9523809523809523,44.0
17,1.0,1.0,1.0,44.0
18,0.9534883720930233,0.9318181818181818,0.9425287356321839,44.0
19,0.9772727272727273,0.9772727272727273,0.9772727272727273,44.0
20,0.9545454545454546,0.9545454545454546,0.9545454545454546,44.0
21,1.0,0.9545454545454546,0.9767441860465116,44.0
22,1.0,0.9090909090909091,0.9523809523809523,44.0
23,1.0,1.0,1.0,44.0
24,0.9777777777777777,1.0,0.9887640449438202,44.0
25,0.9361702127659575,1.0,0.967032967032967,44.0
accuracy,0.9641608391608392,0.9641608391608392,0.9641608391608392,0.9641608391608392
macro avg,0.9671188357665135,0.9641608391608393,0.9644609939820494,1144.0
weighted avg,0.9671188357665135,0.9641608391608392,0.9644609939820494,1144.0
